SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,season,season_type
22003,2544,0020301179,"Apr 14, 2004",CLE @ NYK,W,35,8,17,0.471,0,3,0.0,1,1,1.0,0,1,1,5,3,0,5,1,17,-6,0,2003-04,Regular Season
22003,2544,0020301162,"Apr 12, 2004",CLE vs. MIL,W,45,9,20,0.45,1,4,0.25,8,11,0.727,1,6,7,9,2,0,1,1,27,11,0,2003-04,Regular Season
22003,2544,0020301151,"Apr 10, 2004",CLE vs. MIA,W,32,4,11,0.364,0,2,0.0,2,5,0.4,1,2,3,11,0,0,2,3,10,14,0,2003-04,Regular Season
22003,2544,0020301137,"Apr 09, 2004",CLE @ MIA,L,42,6,14,0.429,1,1,1.0,11,15,0.733,1,6,7,8,1,0,8,2,24,-16,0,2003-04,Regular Season
22003,2544,0020301128,"Apr 07, 2004",CLE @ MEM,L,36,4,11,0.364,0,0,0.0,6,7,0.857,0,3,3,5,3,0,2,4,14,-11,0,2003-04,Regular Season
22003,2544,0020301115,"Apr 06, 2004",CLE vs. TOR,L,46,5,17,0.294,0,0,0.0,11,14,0.786,1,5,6,4,3,0,3,2,21,2,0,2003-04,Regular Season
22003,2544,0020301102,"Apr 03, 2004",CLE vs. GSW,L,46,12,28,0.429,3,5,0.6,7,11,0.636,3,5,8,10,1,1,3,1,34,-3,0,2003-04,Regular Season
22003,2544,0020301097,"Apr 02, 2004",CLE @ MIL,L,36,9,19,0.474,0,0,0.0,2,2,1.0,0,7,7,7,5,0,5,3,20,-13,0,2003-04,Regular Season
22003,2544,0020301073,"Mar 30, 2004",CLE @ DAL,L,42,13,22,0.591,0,2,0.0,2,4,0.5,1,4,5,6,4,0,3,2,28,-10,0,2003-04,Regular Season
22003,2544,0020301069,"Mar 29, 2004",CLE @ SAS,L,32,9,20,0.45,0,1,0.0,0,0,0.0,0,2,2,4,0,1,2,0,18,-14,0,2003-04,Regular Season
22003,2544,0020301050,"Mar 27, 2004",CLE vs. NJN,W,43,15,29,0.517,1,2,0.5,10,10,1.0,2,4,6,13,3,0,2,1,41,10,0,2003-04,Regular Season
22003,2544,0020301038,"Mar 26, 2004",CLE @ PHI,L,33,5,13,0.385,1,2,0.5,5,9,0.556,2,1,3,7,0,1,5,1,16,-24,0,2003-04,Regular Season
22003,2544,0020301018,"Mar 23, 2004",CLE vs. PHX,L,42,8,21,0.381,2,5,0.4,7,9,0.778,1,1,2,6,3,1,5,0,25,-12,0,2003-04,Regular Season
22003,2544,0020301008,"Mar 21, 2004",CLE vs. DET,L,36,5,17,0.294,1,4,0.25,4,5,0.8,2,5,7,3,0,2,4,4,15,-21,0,2003-04,Regular Season
22003,2544,0020300989,"Mar 19, 2004",CLE vs. UTA,L,33,4,14,0.286,0,2,0.0,6,10,0.6,0,0,0,7,2,1,2,3,14,-2,0,2003-04,Regular Season
22003,2544,0020300967,"Mar 16, 2004",CLE vs. CHI,W,32,5,16,0.313,2,3,0.667,5,8,0.625,3,2,5,8,0,5,4,1,17,24,0,2003-04,Regular Season
22003,2544,0020300957,"Mar 14, 2004",CLE vs. IND,W,44,12,22,0.545,0,2,0.0,2,4,0.5,0,3,3,4,3,1,4,3,26,5,0,2003-04,Regular Season
22003,2544,0020300928,"Mar 10, 2004",CLE @ TOR,W,34,4,13,0.308,0,0,0.0,6,7,0.857,1,2,3,4,1,0,2,2,14,16,0,2003-04,Regular Season
22003,2544,0020300914,"Mar 08, 2004",CLE @ ATL,W,45,11,23,0.478,1,4,0.25,11,13,0.846,2,4,6,7,1,0,2,1,34,11,0,2003-04,Regular Season
22003,2544,0020300899,"Mar 06, 2004",CLE vs. MIL,W,43,11,24,0.458,0,3,0.0,2,3,0.667,2,5,7,10,4,1,2,3,24,9,0,2003-04,Regular Season
22003,2544,0020300890,"Mar 05, 2004",CLE @ NOH,W,37,7,17,0.412,2,2,1.0,3,4,0.75,2,4,6,4,2,0,4,5,19,1,0,2003-04,Regular Season
22003,2544,0020300876,"Mar 03, 2004",CLE vs. ATL,W,28,9,17,0.529,1,2,0.5,5,6,0.833,1,6,7,3,1,1,1,0,24,22,0,2003-04,Regular Season
22003,2544,0020300865,"Mar 01, 2004",CLE @ CHI,L,41,7,17,0.412,0,2,0.0,4,6,0.667,0,3,3,3,4,1,3,2,18,-4,0,2003-04,Regular Season
22003,2544,0020300838,"Feb 27, 2004",CLE @ ORL,W,49,11,19,0.579,1,1,1.0,7,8,0.875,1,10,11,3,3,1,5,1,30,7,0,2003-04,Regular Season
22003,2544,0020300830,"Feb 25, 2004",CLE @ HOU,L,39,5,18,0.278,0,2,0.0,1,3,0.333,2,5,7,5,2,1,2,1,11,-5,0,2003-04,Regular Season
22003,2544,0020300812,"Feb 23, 2004",CLE vs. NOH,W,36,7,16,0.438,1,5,0.2,6,6,1.0,0,4,4,6,2,5,1,3,21,4,0,2003-04,Regular Season
22003,2544,0020300802,"Feb 22, 2004",CLE @ NYK,W,44,7,20,0.35,0,0,0.0,8,12,0.667,1,4,5,3,1,0,1,2,22,11,0,2003-04,Regular Season
22003,2544,0020300789,"Feb 20, 2004",CLE vs. SAS,W,39,14,23,0.609,0,0,0.0,4,4,1.0,2,9,11,2,2,1,2,0,32,3,0,2003-04,Regular Season
22003,2544,0020300775,"Feb 18, 2004",CLE vs. DAL,L,34,6,12,0.5,0,0,0.0,4,4,1.0,2,2,4,9,0,1,5,2,16,-15,0,2003-04,Regular Season
22003,2544,0020300752,"Feb 11, 2004",CLE vs. NJN,L,29,2,13,0.154,0,1,0.0,5,5,1.0,1,1,2,5,1,0,5,0,9,-12,0,2003-04,Regular Season
22003,2544,0020300737,"Feb 09, 2004",CLE vs. BOS,W,43,9,25,0.36,1,6,0.167,5,6,0.833,0,6,6,3,2,1,1,3,24,19,0,2003-04,Regular Season
22003,2544,0020300725,"Feb 07, 2004",CLE vs. WAS,L,34,6,16,0.375,0,0,0.0,2,2,1.0,0,0,0,6,4,1,3,2,14,-24,0,2003-04,Regular Season
22003,2544,0020300715,"Feb 06, 2004",CLE @ MIN,L,44,6,18,0.333,1,3,0.333,1,4,0.25,1,8,9,5,0,0,3,2,14,-16,0,2003-04,Regular Season
22003,2544,0020300703,"Feb 04, 2004",CLE vs. LAL,L,43,12,26,0.462,4,4,1.0,4,5,0.8,0,4,4,4,0,0,0,0,32,-2,0,2003-04,Regular Season
22003,2544,0020300694,"Feb 03, 2004",CLE @ DET,W,38,5,19,0.263,0,1,0.0,2,2,1.0,1,3,4,6,2,0,1,2,12,-1,0,2003-04,Regular Season
22003,2544,0020300680,"Feb 01, 2004",CLE @ WAS,W,43,14,27,0.519,1,2,0.5,9,11,0.818,3,3,6,4,0,2,6,4,38,0,0,2003-04,Regular Season
22003,2544,0020300666,"Jan 30, 2004",CLE @ MIL,L,37,7,25,0.28,1,6,0.167,5,8,0.625,2,6,8,3,1,0,5,5,20,3,0,2003-04,Regular Season
22003,2544,0020300647,"Jan 28, 2004",CLE vs. MIA,W,44,10,25,0.4,0,1,0.0,7,10,0.7,0,5,5,4,2,1,1,1,27,2,0,2003-04,Regular Season
22003,2544,0020300635,"Jan 26, 2004",CLE vs. ORL,W,30,7,19,0.368,1,2,0.5,1,2,0.5,0,5,5,3,0,2,3,4,16,-10,0,2003-04,Regular Season
22003,2544,0020300573,"Jan 17, 2004",CLE @ UTA,W,45,12,28,0.429,2,4,0.5,3,5,0.6,1,6,7,2,2,1,4,2,29,8,0,2003-04,Regular Season
22003,2544,0020300556,"Jan 15, 2004",CLE @ GSW,L,43,8,21,0.381,2,5,0.4,11,13,0.846,2,4,6,6,3,0,2,0,29,-14,0,2003-04,Regular Season
22003,2544,0020300541,"Jan 13, 2004",CLE @ SEA,W,44,11,26,0.423,0,1,0.0,5,6,0.833,4,5,9,9,2,0,4,2,27,11,0,2003-04,Regular Season
22003,2544,0020300531,"Jan 12, 2004",CLE @ LAL,L,37,6,20,0.3,0,3,0.0,4,5,0.8,1,4,5,7,1,1,6,3,16,3,0,2003-04,Regular Season
22003,2544,0020300508,"Jan 09, 2004",CLE @ BOS,L,43,7,19,0.368,0,3,0.0,5,7,0.714,0,3,3,6,3,0,5,1,19,-30,0,2003-04,Regular Season
22003,2544,0020300494,"Jan 07, 2004",CLE @ TOR,L,38,10,23,0.435,0,3,0.0,1,2,0.5,0,2,2,5,0,0,2,3,21,-2,0,2003-04,Regular Season
22003,2544,0020300485,"Jan 06, 2004",CLE vs. NYK,W,41,6,17,0.353,0,2,0.0,2,2,1.0,0,4,4,10,1,1,4,1,14,10,0,2003-04,Regular Season
22003,2544,0020300455,"Jan 02, 2004",CLE @ NJN,L,37,6,19,0.316,0,4,0.0,2,4,0.5,1,3,4,9,1,0,3,2,14,-14,0,2003-04,Regular Season
22003,2544,0020300440,"Dec 30, 2003",CLE vs. IND,L,38,9,20,0.45,0,4,0.0,4,6,0.667,2,8,10,4,0,0,4,2,22,-2,0,2003-04,Regular Season
22003,2544,0020300424,"Dec 28, 2003",CLE vs. POR,W,39,15,23,0.652,0,2,0.0,2,2,1.0,3,7,10,9,3,0,5,1,32,11,0,2003-04,Regular Season
22003,2544,0020300405,"Dec 26, 2003",CLE vs. CHI,L,34,7,24,0.292,1,4,0.25,3,4,0.75,1,2,3,4,1,2,5,0,18,-12,0,2003-04,Regular Season
22003,2544,0020300401,"Dec 25, 2003",CLE @ ORL,L,47,13,28,0.464,4,10,0.4,4,5,0.8,1,1,2,6,2,1,8,0,34,-9,0,2003-04,Regular Season
22003,2544,0020300389,"Dec 23, 2003",CLE vs. NOH,W,39,7,22,0.318,1,6,0.167,7,8,0.875,2,4,6,2,6,1,5,1,22,9,0,2003-04,Regular Season
22003,2544,0020300374,"Dec 20, 2003",CLE @ CHI,W,42,11,22,0.5,0,5,0.0,10,12,0.833,1,5,6,10,2,2,4,2,32,9,0,2003-04,Regular Season
22003,2544,0020300360,"Dec 19, 2003",CLE @ PHI,W,42,14,24,0.583,5,7,0.714,3,3,1.0,1,3,4,5,4,0,4,1,36,9,0,2003-04,Regular Season
22003,2544,0020300348,"Dec 17, 2003",CLE vs. HOU,L,36,7,19,0.368,2,4,0.5,1,2,0.5,0,1,1,3,0,0,2,2,17,-9,0,2003-04,Regular Season
22003,2544,0020300334,"Dec 15, 2003",CLE @ IND,L,44,10,16,0.625,0,3,0.0,7,8,0.875,1,3,4,6,3,3,6,1,27,-12,0,2003-04,Regular Season
22003,2544,0020300322,"Dec 13, 2003",CLE vs. BOS,L,45,10,20,0.5,1,5,0.2,16,18,0.889,1,2,3,4,0,0,2,2,37,-2,0,2003-04,Regular Season
22003,2544,0020300306,"Dec 11, 2003",CLE vs. DET,W,43,8,21,0.381,1,3,0.333,6,8,0.75,1,2,3,9,1,1,4,3,23,9,0,2003-04,Regular Season
22003,2544,0020300289,"Dec 09, 2003",CLE vs. TOR,L,37,7,16,0.438,0,0,0.0,4,4,1.0,0,5,5,3,1,0,2,2,18,-2,0,2003-04,Regular Season
22003,2544,0020300273,"Dec 06, 2003",CLE vs. ATL,W,36,4,12,0.333,0,2,0.0,0,0,0.0,1,5,6,5,2,1,3,2,8,-5,0,2003-04,Regular Season
22003,2544,0020300255,"Dec 03, 2003",CLE @ LAC,L,34,2,13,0.154,0,3,0.0,0,0,0.0,4,2,6,8,2,0,5,2,4,3,0,2003-04,Regular Season
22003,2544,0020300245,"Dec 02, 2003",CLE @ DEN,L,33,6,19,0.316,2,3,0.667,5,7,0.714,3,3,6,5,2,0,2,4,19,-12,0,2003-04,Regular Season
22003,2544,0020300227,"Nov 29, 2003",CLE vs. MEM,L,55,14,28,0.5,3,6,0.5,2,3,0.667,2,14,16,7,1,1,8,1,33,-10,0,2003-04,Regular Season
22003,2544,0020300214,"Nov 28, 2003",CLE @ DET,L,36,2,8,0.25,0,2,0.0,2,3,0.667,0,2,2,7,0,0,4,3,6,-10,0,2003-04,Regular Season
22003,2544,0020300203,"Nov 26, 2003",CLE @ NOH,L,39,5,17,0.294,1,4,0.25,4,4,1.0,2,6,8,9,0,0,4,1,15,-13,0,2003-04,Regular Season
22003,2544,0020300177,"Nov 22, 2003",CLE @ ATL,L,42,3,16,0.188,0,1,0.0,9,10,0.9,2,4,6,4,2,1,3,1,15,-6,0,2003-04,Regular Season
22003,2544,0020300166,"Nov 21, 2003",CLE vs. MIN,L,35,8,19,0.421,0,2,0.0,3,3,1.0,2,7,9,2,1,0,1,4,19,-3,0,2003-04,Regular Season
22003,2544,0020300153,"Nov 19, 2003",CLE @ WAS,L,39,10,18,0.556,2,4,0.5,6,8,0.75,2,5,7,8,2,1,4,2,28,-5,0,2003-04,Regular Season
22003,2544,0020300144,"Nov 18, 2003",CLE vs. LAC,W,39,6,16,0.375,0,2,0.0,2,4,0.5,2,5,7,8,0,1,3,2,14,1,0,2003-04,Regular Season
22003,2544,0020300130,"Nov 15, 2003",CLE vs. PHI,W,47,10,19,0.526,0,1,0.0,2,4,0.5,0,5,5,8,1,2,5,2,22,8,0,2003-04,Regular Season
22003,2544,0020300115,"Nov 14, 2003",CLE @ BOS,L,35,3,12,0.25,2,4,0.5,2,4,0.5,1,4,5,3,0,0,4,3,10,-1,0,2003-04,Regular Season
22003,2544,0020300106,"Nov 12, 2003",CLE @ MIA,L,42,6,15,0.4,2,5,0.4,4,6,0.667,1,2,3,7,2,1,4,3,18,-4,0,2003-04,Regular Season
22003,2544,0020300090,"Nov 10, 2003",CLE vs. NYK,W,34,7,12,0.583,3,3,1.0,0,0,0.0,1,4,5,4,1,1,2,0,17,20,0,2003-04,Regular Season
22003,2544,0020300078,"Nov 08, 2003",CLE vs. WAS,W,45,8,19,0.421,0,0,0.0,1,4,0.25,5,3,8,9,1,1,2,1,17,14,0,2003-04,Regular Season
22003,2544,0020300068,"Nov 07, 2003",CLE @ IND,L,44,8,18,0.444,1,2,0.5,6,7,0.857,0,5,5,3,0,0,7,2,23,-7,0,2003-04,Regular Season
22003,2544,0020300057,"Nov 05, 2003",CLE vs. DEN,L,41,3,11,0.273,0,2,0.0,1,1,1.0,2,9,11,7,2,3,2,1,7,-3,0,2003-04,Regular Season
22003,2544,0020300038,"Nov 01, 2003",CLE @ POR,L,39,3,12,0.25,0,1,0.0,2,2,1.0,0,4,4,6,2,0,2,3,8,-21,0,2003-04,Regular Season
22003,2544,0020300018,"Oct 30, 2003",CLE @ PHX,L,41,8,17,0.471,1,5,0.2,4,7,0.571,2,10,12,8,1,0,7,1,21,-3,0,2003-04,Regular Season
22003,2544,0020300014,"Oct 29, 2003",CLE @ SAC,L,42,12,20,0.6,0,2,0.0,1,3,0.333,2,4,6,9,4,0,2,3,25,-9,0,2003-04,Regular Season
22004,2544,0020401218,"Apr 20, 2005",CLE @ TOR,W,48,10,23,0.435,2,8,0.25,5,10,0.5,2,12,14,14,0,1,2,1,27,9,0,2004-05,Regular Season
22004,2544,0020401209,"Apr 19, 2005",CLE vs. BOS,W,47,13,27,0.481,2,3,0.667,4,5,0.8,1,7,8,6,5,0,3,3,32,13,0,2004-05,Regular Season
22004,2544,0020401194,"Apr 17, 2005",CLE @ DET,L,45,12,35,0.343,2,7,0.286,11,14,0.786,3,8,11,6,0,1,1,0,37,-6,0,2004-05,Regular Season
22004,2544,0020401174,"Apr 15, 2005",CLE @ WAS,L,48,16,33,0.485,1,6,0.167,5,8,0.625,2,4,6,6,1,0,1,3,38,-8,0,2004-05,Regular Season
22004,2544,0020401171,"Apr 14, 2005",CLE vs. NYK,L,42,7,25,0.28,4,13,0.308,9,14,0.643,1,17,18,7,2,2,4,3,27,1,0,2004-05,Regular Season
22004,2544,0020401148,"Apr 11, 2005",CLE @ ORL,W,48,12,23,0.522,1,6,0.167,8,10,0.8,1,6,7,6,5,1,2,4,33,8,0,2004-05,Regular Season
22004,2544,0020401134,"Apr 09, 2005",CLE vs. MIL,W,47,15,26,0.577,7,13,0.538,3,3,1.0,1,9,10,10,2,1,3,2,40,13,0,2004-05,Regular Season
22004,2544,0020401120,"Apr 08, 2005",CLE @ PHI,L,48,12,30,0.4,2,6,0.333,11,11,1.0,4,9,13,7,5,0,5,1,37,-5,0,2004-05,Regular Season
22004,2544,0020401110,"Apr 06, 2005",CLE @ IND,L,33,9,18,0.5,0,3,0.0,2,4,0.5,2,2,4,3,1,0,2,2,20,-15,0,2004-05,Regular Season
22004,2544,0020401096,"Apr 05, 2005",CLE vs. NJN,L,40,9,19,0.474,3,6,0.5,3,6,0.5,2,7,9,4,2,2,6,2,24,-21,0,2004-05,Regular Season
22004,2544,0020401085,"Apr 03, 2005",CLE vs. DAL,W,48,10,23,0.435,4,8,0.5,13,13,1.0,2,8,10,7,2,1,6,3,37,20,0,2004-05,Regular Season
22004,2544,0020401072,"Apr 01, 2005",CLE vs. SAC,L,44,13,21,0.619,2,4,0.5,7,10,0.7,0,8,8,9,2,0,7,2,35,-15,0,2004-05,Regular Season
22004,2544,0020401064,"Mar 31, 2005",CLE @ CHI,L,53,10,28,0.357,1,4,0.25,5,11,0.455,4,2,6,7,4,2,3,5,26,-12,0,2004-05,Regular Season
22004,2544,0020401048,"Mar 29, 2005",CLE vs. LAC,W,41,7,20,0.35,2,8,0.25,6,7,0.857,0,7,7,5,2,1,1,0,22,11,0,2004-05,Regular Season
22004,2544,0020401041,"Mar 28, 2005",CLE @ NOK,W,53,16,29,0.552,3,10,0.3,9,11,0.818,2,4,6,3,4,0,10,3,44,1,0,2004-05,Regular Season
22004,2544,0020401029,"Mar 26, 2005",CLE @ DAL,L,36,7,17,0.412,0,2,0.0,5,6,0.833,1,3,4,6,0,0,3,1,19,-24,0,2004-05,Regular Season
22004,2544,0020401008,"Mar 24, 2005",CLE @ HOU,L,42,7,22,0.318,1,4,0.25,4,7,0.571,0,4,4,8,1,0,2,1,19,-17,0,2004-05,Regular Season
22004,2544,0020400990,"Mar 22, 2005",CLE vs. DET,W,43,11,24,0.458,2,7,0.286,5,8,0.625,1,5,6,6,1,0,0,1,29,21,0,2004-05,Regular Season
22004,2544,0020400977,"Mar 20, 2005",CLE @ TOR,L,48,18,36,0.5,6,12,0.5,14,15,0.933,2,8,10,5,2,0,4,0,56,-7,0,2004-05,Regular Season
22004,2544,0020400959,"Mar 18, 2005",CLE vs. PHI,L,46,3,20,0.15,0,4,0.0,10,12,0.833,0,8,8,8,4,0,4,0,16,-8,0,2004-05,Regular Season
22004,2544,0020400948,"Mar 16, 2005",CLE @ MIL,L,45,13,26,0.5,4,9,0.444,4,7,0.571,1,6,7,6,1,0,5,0,34,-14,0,2004-05,Regular Season
22004,2544,0020400938,"Mar 15, 2005",CLE vs. UTA,W,35,11,15,0.733,2,5,0.4,12,16,0.75,2,7,9,2,0,1,1,1,36,22,0,2004-05,Regular Season
22004,2544,0020400928,"Mar 13, 2005",CLE vs. IND,W,44,12,23,0.522,1,5,0.2,10,11,0.909,2,3,5,5,1,0,4,1,35,12,0,2004-05,Regular Season
22004,2544,0020400887,"Mar 08, 2005",CLE vs. ORL,W,40,9,22,0.409,2,6,0.333,3,4,0.75,0,7,7,8,1,1,1,3,23,18,0,2004-05,Regular Season
22004,2544,0020400878,"Mar 06, 2005",CLE vs. MIA,L,41,9,19,0.474,0,1,0.0,5,7,0.714,0,4,4,5,2,0,1,1,23,-17,0,2004-05,Regular Season
22004,2544,0020400854,"Mar 04, 2005",CLE @ PHI,L,40,12,21,0.571,0,1,0.0,10,12,0.833,1,6,7,7,4,0,6,1,34,-10,0,2004-05,Regular Season
22004,2544,0020400844,"Mar 02, 2005",CLE vs. SEA,L,41,11,20,0.55,5,7,0.714,5,8,0.625,0,5,5,5,0,0,4,2,32,-7,0,2004-05,Regular Season
22004,2544,0020400830,"Feb 28, 2005",CLE vs. SAS,L,45,6,22,0.273,1,4,0.25,7,10,0.7,1,7,8,7,0,0,2,3,20,2,0,2004-05,Regular Season
22004,2544,0020400820,"Feb 27, 2005",CLE @ NJN,L,45,9,20,0.45,1,2,0.5,9,10,0.9,1,3,4,7,2,0,5,4,28,-10,0,2004-05,Regular Season
22004,2544,0020400805,"Feb 25, 2005",CLE @ IND,L,41,9,25,0.36,0,1,0.0,3,4,0.75,3,4,7,5,2,1,2,0,21,-11,0,2004-05,Regular Season
22004,2544,0020400791,"Feb 23, 2005",CLE vs. CHI,W,44,8,17,0.471,1,1,1.0,10,15,0.667,1,5,6,11,5,0,3,2,27,7,0,2004-05,Regular Season
22004,2544,0020400780,"Feb 17, 2005",CLE @ MIN,L,41,10,19,0.526,1,2,0.5,5,6,0.833,2,5,7,8,1,0,2,0,26,-1,0,2004-05,Regular Season
22004,2544,0020400773,"Feb 16, 2005",CLE vs. ATL,W,37,11,20,0.55,2,2,1.0,4,5,0.8,0,5,5,6,3,0,3,0,28,27,0,2004-05,Regular Season
22004,2544,0020400746,"Feb 13, 2005",CLE vs. LAL,W,46,8,20,0.4,0,0,0.0,9,10,0.9,2,6,8,9,3,1,3,3,25,9,0,2004-05,Regular Season
22004,2544,0020400736,"Feb 11, 2005",CLE vs. DEN,L,43,12,29,0.414,1,6,0.167,10,12,0.833,2,4,6,6,1,0,4,2,35,-13,0,2004-05,Regular Season
22004,2544,0020400710,"Feb 08, 2005",CLE vs. TOR,W,36,6,14,0.429,0,3,0.0,3,4,0.75,1,7,8,11,3,0,2,1,15,15,0,2004-05,Regular Season
22004,2544,0020400693,"Feb 05, 2005",CLE vs. ORL,W,45,9,21,0.429,0,3,0.0,12,13,0.923,0,6,6,9,2,0,1,2,30,10,0,2004-05,Regular Season
22004,2544,0020400677,"Feb 03, 2005",CLE @ MIA,L,46,11,23,0.478,1,3,0.333,8,12,0.667,2,0,2,10,3,0,2,2,31,-8,0,2004-05,Regular Season
22004,2544,0020400660,"Feb 01, 2005",CLE @ ORL,L,43,10,20,0.5,0,3,0.0,8,13,0.615,2,3,5,7,0,1,3,2,28,-3,0,2004-05,Regular Season
22004,2544,0020400615,"Jan 26, 2005",CLE vs. MEM,W,42,10,16,0.625,4,6,0.667,3,4,0.75,1,8,9,15,3,2,5,1,27,7,0,2004-05,Regular Season
22004,2544,0020400599,"Jan 24, 2005",CLE vs. WAS,L,48,12,26,0.462,1,1,1.0,6,10,0.6,4,6,10,8,2,1,5,3,31,-9,0,2004-05,Regular Season
22004,2544,0020400591,"Jan 22, 2005",CLE @ GSW,W,43,13,24,0.542,0,1,0.0,2,2,1.0,1,11,12,10,1,1,3,1,28,19,0,2004-05,Regular Season
22004,2544,0020400572,"Jan 20, 2005",CLE @ SAC,L,37,9,19,0.474,0,1,0.0,0,1,0.0,1,7,8,6,1,0,3,0,18,-24,0,2004-05,Regular Season
22004,2544,0020400568,"Jan 19, 2005",CLE @ POR,W,44,11,16,0.688,1,1,1.0,4,6,0.667,1,10,11,10,4,0,2,4,27,0,0,2004-05,Regular Season
22004,2544,0020400543,"Jan 16, 2005",CLE @ SEA,L,44,14,30,0.467,3,7,0.429,4,6,0.667,2,3,5,11,4,1,1,4,35,-7,0,2004-05,Regular Season
22004,2544,0020400539,"Jan 15, 2005",CLE @ UTA,W,41,9,20,0.45,0,1,0.0,9,14,0.643,1,7,8,5,5,0,3,2,27,11,0,2004-05,Regular Season
22004,2544,0020400518,"Jan 13, 2005",CLE @ LAL,L,44,12,26,0.462,1,4,0.25,3,4,0.75,3,10,13,9,1,1,4,1,28,-1,0,2004-05,Regular Season
22004,2544,0020400497,"Jan 11, 2005",CLE vs. CHA,W,49,11,24,0.458,2,5,0.4,5,7,0.714,1,7,8,9,2,1,8,1,29,7,0,2004-05,Regular Season
22004,2544,0020400478,"Jan 08, 2005",CLE vs. NYK,W,32,10,14,0.714,0,0,0.0,2,2,1.0,1,2,3,4,0,2,8,2,22,5,0,2004-05,Regular Season
22004,2544,0020400457,"Jan 05, 2005",CLE vs. ATL,W,40,7,14,0.5,2,5,0.4,4,6,0.667,1,5,6,9,1,1,2,4,20,10,0,2004-05,Regular Season
22004,2544,0020400442,"Jan 03, 2005",CLE @ CHA,W,41,11,19,0.579,0,3,0.0,4,6,0.667,2,6,8,6,2,0,1,3,26,14,0,2004-05,Regular Season
22004,2544,0020400411,"Dec 29, 2004",CLE vs. HOU,L,17,0,5,0.0,0,1,0.0,3,5,0.6,0,3,3,5,0,0,0,0,3,-10,0,2004-05,Regular Season
22004,2544,0020400401,"Dec 28, 2004",CLE @ ATL,W,46,13,25,0.52,3,5,0.6,11,14,0.786,1,8,9,7,1,0,1,2,40,8,0,2004-05,Regular Season
22004,2544,0020400384,"Dec 26, 2004",CLE vs. NOK,W,45,7,16,0.438,0,1,0.0,8,9,0.889,1,8,9,14,4,1,5,2,22,8,0,2004-05,Regular Season
22004,2544,0020400370,"Dec 22, 2004",CLE @ NJN,L,42,7,18,0.389,1,1,1.0,8,10,0.8,1,8,9,9,1,0,4,2,23,-3,0,2004-05,Regular Season
